source,text
942,"Recently I noticed the following cracks and small holes on the bottom side of my better boy tomoato plants.  I am in Maryland and we have not had a lot of rain the past month however I regularly try to ensure they get about 1"" water a week from a soaker hose setup.  What could be causing this?  Is it due to a fluctuation in water levels somehow?  Note that I'm growing four other types of tomato (brandy boy, porterhouse, grape, and an early season hybrid) and this is the only one that is having the issue.



Having read something about this problem before, I did a bit of hunting. I do not (yet) have personal experience with this, but considering the weather can certainly believe that I will!
In looking at your photo, it's unclear if it's insect holes, black leathery patches that are characteristic of blossom end rot, or a hole that is a result of a cave-in from blossom end rot. 
I'm leaning toward blossom end rot, which is a problem with insufficient calcium for the rapidly developing fruit. As I understand, it could be a result of unstable soil moisture levels.
"
945,"Most of the seedlings I have planted out this year have been eaten by slugs within a day. 
I have my final two runner bean plants that need to go out. 
How can I prevent these from being the next feast for the slugs? I don't want to use chemicals so it has to be organic. I am fine with killing them (they have driven me to it!)


Save the beer and make your own traps is my suggestion. It works just as well and is a lot cheaper.
Mix the following and let it sit in a warm place, stirring occasionally until you get a yeasty smell.
1 cup of water
1 teaspoon of sugar
1 teaspoon of flour
1/2 teaspoon of dry yeast
Place it in marjarine containers, pop bottles etc, every 15 feet or so in your garden. It's worked quite well for me. Good luck
"
946,"We have a raised bed garden that does well for the most part.  For aesthetic purposes, my wife will not let me put a fence around the garden.  Most of the veggies and herbs do well and do not get eaten by the various critters.  But sometimes they do, especially the peppers and cucumbers.  I have seen deer eating the garden, but there could be others as well i suppose.  We live along the edge of deep woods in the country (NE Ohio).
What are some good techniques to keep them away?  I do not care too much about being earthy, so pesticides are an option if there are no other alternatives. 
Things in there this year are: basil, oregano, chives, peppers (bell, jalapeno, banana), broccoli, eggplant, cucumbers, and tomatoes.



Try the plant rue as a border plant. It is a deterrent against deer and rabbits. From what I know, you'd need a lot of it growing around, so I'd say a solid line or two around your garden would be best. It doesn't grow very tall or wide though so it doesn't take up that much space.
"
947,"This Spring, I pruned all my shrubs and pulled out a few pine stumps. My first thought was just to pile them all up on their own. I have never had good luck trying to compost such material with the rest of my compost. But I'm concerned that these heavy materials will take years to compost all by themselves. What can I do to speed up the decomposition of such materials?


I'd second the hugelkultur idea. I made a couple of raised beds using nothing but branches and a few logs, buried with about 6 inches of soil...The peppers and eggplants that grew out of that bed were possibly the best I've ever had.
"
951,"This Spring, I pruned all my shrubs and pulled out a few pine stumps. My first thought was just to pile them all up on their own. I have never had good luck trying to compost such material with the rest of my compost. But I'm concerned that these heavy materials will take years to compost all by themselves. What can I do to speed up the decomposition of such materials?


I also agree with the Hugelkulture beds mentioned above. You can just place all the branches and logs in a pile or several piles and put everything that you want to compost over top of them and then cover with either soil or invertred sod and mulch.
If you cover with soil you can plant in it right away. I have made several hugel beds in my gardens and they have all done wonderfully. As the wood rots it feeds the soil and holds moisture.
These can be done as raised beds, or dug into the soil
"
955,"Are there any flowering annuals I can still sow in the second half of June? I've just transplanted out some marigolds that I threw into seed compost in the Spring and basically neglected in a corner of the greenhouse ever since. They were getting a bit sad in their seed tray. But after two days out in a comfy bed they're looking brilliant.
I had forgotten how easy they are to grow. 
Are there any flowers/bedding plants I can sow at this stage and repeat this trick for some late summer colour in a few weeks time?
I am in the south of the UK.


I've had good luck planting cosmos late. According to what I see for numbers, you can expect bloom 55-90 days after germination.

"
967,"Our lupines (also called lupin in the UK) were done flowering for the year and were harboring an aphid infestation, so I mowed them. Are the ""stumps"" likely to regrow next year or do the plants rely on gathering a lot of energy through the foliage to survive the winter?
(They were originally weeds scavenged from a roadside that we multiplied here over a couple of years, so it's not a major loss if they won't regrow.)


It's hard to tell off-hand if they'll regrow or not, as it depends on a lot of factors such as how low did you mow it, how much damage have the aphids caused, how well developed is the root system, how bad is the winter, etc.
Usually, plants need to ""prepare"" for the winter by shutting down their flower/fruit production and stockpiling energy, and taking steps to reduce their energy consumption. Given that the plant has not had much chance to do any of this, I wouldn't necessarily bet my money on it. However, since there is some more time till winter, perhaps it might work out too. 
"
969,"Has anyone had experience with creating their own permanent metal plant labels/tags?
My grandfather has an old Graphotype machine that he uses to label his metal plant tags, but they're rather expensive and his is very manual in operation.  
I'm looking for a machine and/or technique that will quickly create metal labels for my plants without setting me back too severely in the process (<$200).


If you are not very serious on crafting the words by machine, maybe you can try using a correction pen on the metal pieces. That's really cheap plus you can reuse the metal.
"
973,"I recently tried growing potatoes using a method I saw on TV. This is just cutting up potatoes into reasonable sized sections and placing them several inches down. The results have been fantastic.
While doing some research on how to grow potatoes I have read that I should be using seed potatoes, not cuttings from store bought potatoes. The main reason given is disease.
How high is the risk in using cuttings from store bought potatoes? Are there any other reasons that I should use expensive seed potatoes (considering a bag of potatoes is inexpensive and one potato cut up can produce 4 plants)?
Even Yates suggests that it is not entirely necessary:

It’s best to buy the certified
  disease-free seed potatoes that are
  available at this time of year, but
  you can choose healthy potatoes from
  your vegie drawer



One would expect that the producers of the seed potatoes are going to be better about keeping their product disease free than your average supermarket, but there are no guarantees in life.  As to your chances of getting a bad, disease carrying potato from your supermarket, I'd say that depends on how well you trust that supermarket (though I'd guess it's really very low in any case).
My recommendation for buying potatoes for growing is to go to a local farmers market and pick a variety from there.  You are likely to find potatoes that are already grown in your region, and you might be able to directly ask the farmer about disease for that variety, and whether or not it was grown organically.
"
974,"My neighbor must be advising her home painters to dump their leftover paint, for several days now, on a tree stump that she just last week said might need a pick axe to remove.  This stump is along our property line, 3 feet from my newly planted arborvitae, and 5 feet from the raspberry patch my granddaughter likes to help herself to.  I don't know what kind of paint this neighbor is using for the outside of her home, but, first day I noticed the paint, it was covering the stump that had a hole dug around it about 2' x 2' -- at that point I didn't know what this green goo was, but yesterday I actually saw the painter dumping in the hole! Will this kill my arborvitae, or the raspberry patch 5 feet away?  Will it be safe to eat these raspberries? 


A tree has roots that may be going 20 or 30 feet or more under the ground. If the paint is enough to kill the tree then it's probably enough to affect everything in that 20 foot radius. If not then the paint probably will not kill the tree.
In addition the paint will pollute the ground water and kill all the insects, worms and other things that your garden needs to grow. Clearly your neighbour is an unpleasant, inconsiderate person. Report him to the local council's environmental department and most house to somewhere with more amenable neighbours.
Digging out the tree root may require more than just a pick axe. Depending on the type of tree and size, you may need a small JCB to remove the root stump.
"
976,"Has anyone had experience with creating their own permanent metal plant labels/tags?
My grandfather has an old Graphotype machine that he uses to label his metal plant tags, but they're rather expensive and his is very manual in operation.  
I'm looking for a machine and/or technique that will quickly create metal labels for my plants without setting me back too severely in the process (<$200).


Not necessarily quick, but a cheap alternative would be to get a small punch and a stencil. Write the words onto the metal using the stencil and a (temporary) magic marker. Punch the words into the metal with the punch and a hammer using the marker as a guide.
A hand operated stamp can run around US$300, and the metal isn't cheap either. Unfortunately ""inexpensive"" and ""automatic"" stamping are mutually exclusive.
I cut strips of discarded vinyl siding and write on the smooth back side with pencil. The pencil doesn't come off unless you rub it while it's wet, the siding will last forever (or at least as long as you do), it's free, and it reclaims a resource.
"
977,"I recently tried growing potatoes using a method I saw on TV. This is just cutting up potatoes into reasonable sized sections and placing them several inches down. The results have been fantastic.
While doing some research on how to grow potatoes I have read that I should be using seed potatoes, not cuttings from store bought potatoes. The main reason given is disease.
How high is the risk in using cuttings from store bought potatoes? Are there any other reasons that I should use expensive seed potatoes (considering a bag of potatoes is inexpensive and one potato cut up can produce 4 plants)?
Even Yates suggests that it is not entirely necessary:

It’s best to buy the certified
  disease-free seed potatoes that are
  available at this time of year, but
  you can choose healthy potatoes from
  your vegie drawer



Although myself, I buy seed potatoes from a garden centre, I know a lot of seasoned gardeners who buy them from the local food store and, after chitting them, if they are larger than a hen's egg, cut them in half. I would think that the chances of their being diseased or of rotting are minimal.
If you want to play it safe, you could let the cut ends dry for a day or two, and then dust them lightly with flowers of sulphur (a fungicide), before planting. I know quite a few old-school gardeners who swear by this method and have excellent crops. 
"
978,"I recently tried growing potatoes using a method I saw on TV. This is just cutting up potatoes into reasonable sized sections and placing them several inches down. The results have been fantastic.
While doing some research on how to grow potatoes I have read that I should be using seed potatoes, not cuttings from store bought potatoes. The main reason given is disease.
How high is the risk in using cuttings from store bought potatoes? Are there any other reasons that I should use expensive seed potatoes (considering a bag of potatoes is inexpensive and one potato cut up can produce 4 plants)?
Even Yates suggests that it is not entirely necessary:

It’s best to buy the certified
  disease-free seed potatoes that are
  available at this time of year, but
  you can choose healthy potatoes from
  your vegie drawer



There is another option, although it is not widely practiced.  Instead of using ""seed potatoes"" use ""potato seed"". 
Growing potato starting with true seed 
Also, I've had success planting organic potatoes bought at the grocery store that I would have otherwise eaten, but I wouldn't recommend it unless you're having a really hard time finding seed potatoes. 
"
979,"I recently tried growing potatoes using a method I saw on TV. This is just cutting up potatoes into reasonable sized sections and placing them several inches down. The results have been fantastic.
While doing some research on how to grow potatoes I have read that I should be using seed potatoes, not cuttings from store bought potatoes. The main reason given is disease.
How high is the risk in using cuttings from store bought potatoes? Are there any other reasons that I should use expensive seed potatoes (considering a bag of potatoes is inexpensive and one potato cut up can produce 4 plants)?
Even Yates suggests that it is not entirely necessary:

It’s best to buy the certified
  disease-free seed potatoes that are
  available at this time of year, but
  you can choose healthy potatoes from
  your vegie drawer



I had an entire potato crop get hit by late blight (which didn't come in via the seed potatoes) a couple of years ago. Fortunately I was able to dig the potatoes and dispose of the plants before the tubers were affected -- they were fine to eat -- but I certainly didn't save any of those for planting the following year since they would be blight hosts.
How will you know if the ones you're buying aren't hosts?
The supermarket has no idea -- nor would they care -- whether the potatoes are carrying blight. As long as the tubers themselves aren't rotten, the market will carry them on the shelves. As a consumer you have no way of knowing if the potatoes were harvested early from a field showing signs of blight.
If you're just gardening for fun and a little fresh food, the risk of losing the whole crop is minimal.
If you're dependent on harvesting potatoes for food or income, you should seriously consider getting certified disease-free seed potatoes.
"
981,"My geraniums loved being outside the front window of my house. They've been thriving there for over two months now and I thought I'd finally found a winner (it's too hot for pansies and other daintier plants).
Now they're getting eaten alive. I've heard of leaf-eaters, obviously, but I've never seen flowers bored into and devoured from the inside. 
Click to enlarge


What in the world is eating them? More importantly, what can I do to make things right with my poor friend the geranium by killing what ails her? (If geographic specificity helps, I'm in southern Nevada.)


This is caused by the Geranium Budworm (aka Tobacco Budworm). Click here for treatment.
An excerpt, from the link:

Spray some BT, or bacillus
  thuriengensis, over the affected areas
  of the plant. This natural insecticide
  will only harm caterpillars, including
  budworms. You will probably need
  several applications.

"
984,"I'm trying to repair some patches in my lawn with grass seeds, but I can't seem to get the seeds to germinate. Is there anything that can be done to encourage germination?
In addition, the weather has been really changeable of late, so it's wet and cold for a few days and then hot and dry for others. Is there anything I can do to give the grass some consistent warmth and moisture? 


Covering seeds with a thin layer of compost or peat moss helps create a moist layer to prevent the seeds from drying out. Also will hopefully keep birds from eating the seeds. And of course, you must keep it damp (water twice a day during warm weather) for proper germination.
"
985,"I have a path with flagstone, with the gap between the stones being around an inch or so.  I've had creeping thyme growing between the stones, but it's been a huge battle keeping other plants, specifically clover (which I think may have already been living in the thyme plants when I brought them home from the nursery).  I've spent quite a bit of time pulling up the invaders and as much of their roots as possible, but it's been a very time-consuming process.  I'm worried that the clover might crowd out the thyme, which hasn't always been as hardy as I'd like.
Anyone have any pointers on maintaining healthy, mostly weed free ground covers, especially gap-filling plants?  Any hints on blocking or retarding the growth of invaders?  Or should I give up on this plant and try to find something that's going to grow more aggressively in this space (clover seems to like this location)?
Also, I'd prefer to stick to an organic solution and not use any harsh chemicals.


If you're aiming for uniformity, and you don't mind the look of the clover, I'd say just let the clover take over. My experiences with white clover are that it is capable of choking out pretty much everything else. It would provide a nice, low, green appearance to your path.
"
986,"I'm growing yukon gold potatoes. They've been growing like gangbusters, but this week I noticed some leaf yellowing and wilt on at least 3 plants out of 9. 
Why are they yellowing? Is it anything to be concerned about?  I check the soil daily, and it's damp down to at least 4 inches.
I'm in zone 6a, if that helps any.



The tops of those plants look really healthy. You should be mounding up the soil around them as they grow -- these are taller than I've ever seen, so I have no idea what leaves should look like that low on the plant. By mounding up the soil you encourage the plant to grow more tubers higher up. Every 6-8"" of growth, mound up the soil around them. Leave 3"" or so of leaves poking out -- they'll keep making more top growth. This is why you hear about ""potato condos"" or growing in tall bags or trash barrels.
"
988,"I planted strawberries a couple of years ago in a small patch of my back yard (in Sacramento, CA) and this year they are finally producing lots of strawberries. However, something is eating ""divots"" into them, as if something scooped out maybe a quarter to a third of the strawberry. 
I have netting to keep out squirrels and other larger critters. However, many of the strawberries have divots eaten into them and I found one or two of these with what looked like a small black worm in them. The worm was maybe 3/8"" long and less than 1/16"" wide and its body looked smooth and featureless to my unaided eye. 
Does anyone have an idea of whether these are the creatures that are eating my strawberries? If they are, what can I do to stop them? If something else is eating them, what could it be and what can I do about it? 
Thanks for your help.


My strawberries were damaged in the same way as yours, last year. The culprits proved to be Strawberry Seed Beetles (black, about 1cm long), which were living among some weeds nearby. They remove seeds from the outside of the fruit and also eat into it. I had netted the bed to protect it from birds, but had failed to weed around it - and these beetles are also attracted to weed seeds!
A slug killer would see them off, but it is not advisable to use chemicals near harvest time (and perhaps, like me, you are an organic gardener). I suggest you (1) make sure that nearby weeds are kept down,(2) clear away any dead leaves and garden rubbish,and (3) sink some jam jars into the soil around the bed - a lot of the beetles will fall into them, which will reduce their numbers. It may also be worth finding out if there is an organic slug repellent that would be effective against them, which I intend to do myself.
"
991,"I planted strawberries a couple of years ago in a small patch of my back yard (in Sacramento, CA) and this year they are finally producing lots of strawberries. However, something is eating ""divots"" into them, as if something scooped out maybe a quarter to a third of the strawberry. 
I have netting to keep out squirrels and other larger critters. However, many of the strawberries have divots eaten into them and I found one or two of these with what looked like a small black worm in them. The worm was maybe 3/8"" long and less than 1/16"" wide and its body looked smooth and featureless to my unaided eye. 
Does anyone have an idea of whether these are the creatures that are eating my strawberries? If they are, what can I do to stop them? If something else is eating them, what could it be and what can I do about it? 
Thanks for your help.


This site describes (with copious pictures) the problem you are having.
A possible solution from the site:

Andrea from LifestyleBlock suggested I try using a solution of apple cider vinegar and spray the strawberries several times a day. Since I only had white vinegar I used that instead. The mix I did was 1 tablespoon vinegar to a litre of water. For 5 days now I have been diligently spraying the partially ripe strawberries and it seems to be working.

"
992,"I've been using ""Tomato Maker"" (4-2-6) fertilizer, which supposedly has enough calcium to prevent blossom end rot, but I'm still getting blossom end rot on my super marzano tomatoes (no BER problems on any other varieties I'm growing this year). 
Are there other things that can cause blossom end rot besides calcium deficiency? Is the super marzano variety (or plum tomatoes in general) particularly susceptible? Could my plants still be suffering from calcium deficiency even with the Tomato Maker fertilizer?
In case it would be helpful to know, I live in the California Central Valley, which has hot, dry summers, but spring this year was unusually cool and rainy. 
I'd be interested in any advice on what, if anything, I can do now to reduce blossom end rot on this year's crop and also what I can do in the future to prevent BER from turning up at all.


According to notes by the Alabama  A&M and Auburn Universities:

BER is caused by calcium deficiency, usually induced by fluctuations in the plant's water supply. Because calcium is not a highly mobile element in the plant, even brief fluctuations in the water supply can cause BER. Also, if plants are growing in highly acidic soil or are getting too much water from either heavy rain, over-irrigation or high relative humidity, they can develop calcium deficiency and BER.
This is a very full paper, which goes on to suggest steps that can be taken to control BER, and points out that some varieties tend to be more susceptible to the conditions that cause BER.

Blossom End Rot in Tomatoes: Causes and Prevention
"
995,"I have this recipe that I found from my Granddad's place for making potting soil, for which I need 120 gallons (or for a 16 cubic foot raised box). The recipe calls for the following ingredients:

5 parts compost
4 parts lava sand
3 parts peat moss
2 parts cedar flakes
1 part soft rock phosphate
1/2 part something
1/4 part something 2 

Could someone please help me with how much each of these ingredients are to make 120 gallons or 16 ft cubed? Thanks.


It's just a set of proportions. If you take any measure, say a scoop, then the recipe says to use 5 scoops of compost, 4 scoops of lava sand etc.
In your case to make just over 120 gallons use 1 part = 8 gallons, resulting in:

40 gallons compost 
32 gallons lava sand
etc ...
2 gallons something 2

"
996,"I realise I've put runner beans close to an overhanging damson tree. 
The beans closest to the damson have scaled my supports and have bridged the gap between support and tree and started to climb on into the branches of the damson.
Leaving aside unsuitability of growing vegetables close to trees (loss of light and nutrients), is there a problem with the beans climbing on and on into the tree? (apart from the obvious one of it being hard to harvest the crop of course).
What I mean is, will the plants put excessive effort into climbing and set fewer flowers/beans?
If so, should I just pinch out the tops?


Every time my runner beans grow beyond or above where I want them to I pinch them off and they seem to cope just fine, they don't seem to suffer any adverse effects and flower as you would expect.
Admittedly, I restrict their height on purely cosmetic grounds, so I haven't seen how they perform if left to overgrow branches above them.
"
1003,"I am growing some lemongrass (in a pot) and it's doing very well so far: over the past month, it went from a stump, to about 20-30cm high, with long thin leaves.
My question is: what the best way to encourage its growth in such a way that it produces the strong stalks that are typically used in cooking (afaik, the soft part of the leaves aren't good for that use). And how/when should I go at pruning/harvesting them without stunting further growth?
PS: probably not relevant but just in case: my local weather is about sub-tropical levels of hot and humid (Japanese Summer).


As per winwaed said, you got a pretty good climate for them.
Lemongrass love sun, love water.
Give them sun. Give them plenty of water.
They would like a sandy soil which have good drainage and yet good ability to retain water. If you soil retain water pretty good, then you can add some sand in it for better drainage.
Use a BIG pot which is wider than 1 feet. My recommendation is 1.5-2 feet wide pot.
Cut their leave once a month or longer to encourage growth. If you don't cut, it would be weak. Cut the whole leave, don't cut in a halfway.
"
1009,"I have a couple of rose bushes in my new house and the thorns in the bush (there are a lot of them!) go right through my current gardening gloves, and they hurt. what kind of gloves are available that will prevent rose bushes from stabbing my hands?


I don't have much experience with roses (just planted my first bush this year), but it seems to me that you have two options when dealing with thorns.
Good leather gloves, or consider a specialized product like garden armor. Leather gloves are harder to penetrate.I have not used garden armor, but they appear specifically designed to do exactly what you want them to.
"
1011,"I've just planted a new cherry tree, and I would like to keep it short enough to be able to harvest the fruit with nothing more than a step ladder.  
Seeing as I've just planted it, I feel that I should leave it alone this summer, but will probably need to prune it in the fall or winter.
How should I go about it?


Cherry trees grow with a single upward leader, all other branches come out sideways from this. When the tree gets to the desired height, simply prune off the growing tip of the central leader. The tree with no longer gain height but will instead put its efforts into sideways branching, flowers and fruit.
Cherry trees are susceptible to diseases if pruned too early in the year. Leave the tree until winter before pruning.
"
1013,"I was going to ask this as an aside in this question, but I remembered that there are no asides in StackExchange.  
Say I've done this again: 

I go out and I plant two rows of beets, two rows of turnips, two rows of radishes and two rows of carrots. 

Given beets, carrots and radishes like 18 inches between rows and turnips like 24 inches between rows. How close do I plant the first row of turnips to the last row of beets and how close do I plant the last row of turnips to the first row of radishes? 


""How to Grow More Vegetables"" by John Jeavons, deals with exactly this question. Page 160, ""Companion Planting; In Space"" -- he's talking about companion planting corn and beets intermingled in a bed, but the same logic applies to your question:

... One way to determine the spacing for different plants grown together is to add their spacing together and divide by 2. If you grow corn and beets together, add 15 inches and 4 inches for a total of 9 inches. Divide by 2 and you get a per-plant spacing of 9 1/2 inches. The beets, then, would be 9 1/2 inches from each corn plant and vice versa.

This is followed by a diagram showing how each corn plant gets the necessary 15"" diameter growing space, and each beet gets its necessary 4"" diameter space.
"
1016,"I've just planted a new cherry tree, and I would like to keep it short enough to be able to harvest the fruit with nothing more than a step ladder.  
Seeing as I've just planted it, I feel that I should leave it alone this summer, but will probably need to prune it in the fall or winter.
How should I go about it?


Backyard orchard culture has some thoughts on keeping fruit trees at a desirable height (the height of the grower).  Essentially you make a cherry ""bush"" more than a tree through:

Pruning the tree for low initial
branching (started by topping the
tree at 2ft or less). 
Pruning during
the growing season in addition to
the normal dormant pruning to keep
the tree at the desired level

I've watched a good video that discusses this method, though I haven't tried it myself.
"
1017,"I have a couple of rose bushes in my new house and the thorns in the bush (there are a lot of them!) go right through my current gardening gloves, and they hurt. what kind of gloves are available that will prevent rose bushes from stabbing my hands?


I'd recommend something like a puncture resistent glove that's much stronger than leather (the page says 4 times). This is also ergonomically designed, so you won't have much discomfort.
These are most often bought by people who cut their fingers on the kitchen slicers. So while it's not really a ""gardening glove"", I see no reason to not use it as one. Also, it's pretty inexpensive at $14. 

"
1021,"I realise I've put runner beans close to an overhanging damson tree. 
The beans closest to the damson have scaled my supports and have bridged the gap between support and tree and started to climb on into the branches of the damson.
Leaving aside unsuitability of growing vegetables close to trees (loss of light and nutrients), is there a problem with the beans climbing on and on into the tree? (apart from the obvious one of it being hard to harvest the crop of course).
What I mean is, will the plants put excessive effort into climbing and set fewer flowers/beans?
If so, should I just pinch out the tops?


In my experience its best to just let the bean climb. As far as I know, the larger the plant gets, the more beans you'll get, since the plant has a bigger platform and more nodes to produce bean pods. Might be a different story depending on the variety of bean though.
"
1022,"My neighbor must be advising her home painters to dump their leftover paint, for several days now, on a tree stump that she just last week said might need a pick axe to remove.  This stump is along our property line, 3 feet from my newly planted arborvitae, and 5 feet from the raspberry patch my granddaughter likes to help herself to.  I don't know what kind of paint this neighbor is using for the outside of her home, but, first day I noticed the paint, it was covering the stump that had a hole dug around it about 2' x 2' -- at that point I didn't know what this green goo was, but yesterday I actually saw the painter dumping in the hole! Will this kill my arborvitae, or the raspberry patch 5 feet away?  Will it be safe to eat these raspberries? 


generally, fruit is the safest part of a plant to eat when considering bio-accumulation of toxins present in soil. This is because it is the last and furthest destination for toxins. The roots tend to be most toxic, then stems, then leaves, then fruit.
Is it safe enough? I would eat the berries but its a judgement call. I'd rather eat those than pesticide laced berries from the grocery store.
If your berry patch is significantly upslope from the paint area, its roots may not even come into contact with the paint
Not sure if it'll kill the tree. I don't know enough about the pollution tolerance of that type
"
1023,"Are there any flowering annuals I can still sow in the second half of June? I've just transplanted out some marigolds that I threw into seed compost in the Spring and basically neglected in a corner of the greenhouse ever since. They were getting a bit sad in their seed tray. But after two days out in a comfy bed they're looking brilliant.
I had forgotten how easy they are to grow. 
Are there any flowers/bedding plants I can sow at this stage and repeat this trick for some late summer colour in a few weeks time?
I am in the south of the UK.


Calendula, sunflowers (they'll be short), dill & nasturtiums. Not sure if you'll get flowers in a few weeks, maybe 5-7 weeks depedning on your growing zone. Oh, and all those flowers are edible. 
"
1024,"This yellow flower was growing in my yard in St Petersburg, Florida. It did not survive my xeriscaping.


It looks like a buttercup flower. Hard to tell without a picture of the rest of the plant though.  Was the plant tall and skinny, with leaves such as the ones on this link?
"
1035,"During the warm months when my grass is growing, is there a mowing schedule I can use to encourage the lawn to be green and healthy? Mine often seems ""unhappy"" when it's been cut (goes pale, some browning), which makes me want to mow it less-often.
Is there anything I can check to know when it's best to cut the grass?


JSBangs is right on about not over-cutting.  Some other important considerations are

Keep your blades sharp to prevent any tearing whatsoever. Put away the string trimmer when your lawn is having problems.
Get a testing kit to check the fertility and pH of your lawn area and correct if needed.
Keep the grass long enough to shade the roots in hot months.
Encourage deep roots by watering deep and less often if you do need to irrigate.
Prevent stressors such as weed competition and grubs.

"
1038,"I understand that it's important to water sufficiently and not just dampen the surface.
But does it actually do damage to water very briefly, or is it better than nothing? I'm thinking about a situation where you might be rushing to work in the morning and your time is very limited.


This would probably depend on the nature of your soil, the type of plants involved, the stage in their development, their drought tolerance and whether it is long- or short-term watering.
In the case of seedlings, for instance, in very warm weather, short-term superficial watering cannot do any damage by causing surface rooting, since their roots haven't yet grown down very far, so a brief watering must be far better than none which would compromise their survival.
On the other hand, if, for example, we take a reasonably drought-resistant and well-established variety of sweet corn, growing in a humus-rich, water-retentive soil before 'cobbing', it might be better to withhold water for a few days, until you can water it thoroughly - unless, of course, we're talking about a 'one-off' or short-term watering. In fact, withholding water for a short time might even encourage the plants to root more deeply and extensively in search of it.
"
1044,"I have an abundance of mint that I'd like to use to make mint syrup.  The plants are mildly infested with aphids, but that hasn't stopped them from thriving.  If I harvest the mint, what can I do to wash off the aphids so I can boil it down to make delicious syrup, and subsequently, delicious mint juleps?


Just wash them off with a jet of water. They will come off easily. If you have already cut the mint shake them off and rinse off in the sink. Before using the mint check thoroughly. They should be gone and the boiling will make sure that nothing survives. Good luck.
"
1046,"I bought a bottle of pickled jalapeno today, and I see there are seeds inside them.
It is hard for my local area to acquire jalapeno seeds, so I am wondering if it is possible to grow jalapenos from these seeds in the pickled jalapenos.
The juice is made with water, salt and acidity regulator.


Most likely no.
The pickling process typically boils the bottles to a point that kills any organisms in order to prevent spoilage -- this includes the seeds.
(I say ""most likely"" because some pickling processes are done cold and use a more natural sort of fermentation. But unless you got your pickled peppers at a very traditional sort of shop or from an old-school farmer at a farmers' market, they've been boiled and the seeds will not grow.)
Beyond the processing issue, even if the seeds were viable, if your peppers happen to be a hybrid variety, you won't get plants that produce the same fruit.
Considering that you can get 100 viable jalapeno seeds for under US$2, it's really not worth bothering trying to salvage the debris off the bottom of the pickle jar...
"
1050,"I found lots of mosquito larvae in my fountain. How can I get rid of them?
A local store has the doughnut thingies but they are expensive. I'd prefer a homemade solution if possible.
I tried vegetable oil. It worked but looks ugly.
Any other suggestions?


You don't have fish living in it do you?  If not, I would drop some pool chlorine in there.
"
1052,"I have a couple of rose bushes in my new house and the thorns in the bush (there are a lot of them!) go right through my current gardening gloves, and they hurt. what kind of gloves are available that will prevent rose bushes from stabbing my hands?


I kept bees a long time ago and I often wish I'd kept the kit because I miss those long gloves.
Beekeepers need protection while also needing a glove which allows careful and precise hand movements. Typically their gloves go right up the arm.

Beware, though, beekeeping kit isn't cheap.
"
1062,"I'm interested in making my own container soil for some potted citrus and figs as well as something that'll work for other house plants.  I've heard of Al's Gritty Mix.  Does anyone have a mix that's worked well for them over a several year period?


Below is a good general purpose container soil mix formula I've heard mentioned on a few different gardening podcasts that I listen to:

⅓ sharp sand
⅓ screened high quality top soil/loam
⅓ high quality compost

"
1063,"I have an abundance of mint that I'd like to use to make mint syrup.  The plants are mildly infested with aphids, but that hasn't stopped them from thriving.  If I harvest the mint, what can I do to wash off the aphids so I can boil it down to make delicious syrup, and subsequently, delicious mint juleps?


If you eat frozen broccoli, you've probably already eaten aphids. (That document lists the presence of aphids as ""Aesthetic"", so the presence of a few doesn't sound too harmful anyway.)
Just rinse well and give it an inspection. You're going to boil the daylights out of it and then use bourbon as a ""sterilizing agent"" anyway :)
"
1066,"This question asks about using corrugated cardboard for mulch. In the comments and the answer there are some questions about glues and inks possibly having ""bad stuff"" that you might not want in the vegetable garden.
I'm wondering about cereal boxes (this type of cardboard in general). They're printed with glossy inks, which from what I read probably have heavy metals? Does anyone know of literature about what's in these boxes/inks and whether it would be safe for mulching around vegetables?


Cereal boxes have been in the news recently, in Europe. According to the latest research, they may leak harmful mineral oils into the foods they contain - oils which originate mainly from the ink in the recycled newspapers that are used to make them and, to a lesser extent, from the printing ink on the box, and may be carcinogenic.
As yet, there is no hard evidence that these mineral oil hydrocarbons that migrate into our foodstuffs are a health hazard ; and even if they are, those that are present in the cardboard might well be converted into harmless substances on contact with the soil, over time. However, given the potential risk, I would definitely avoid introducing them into the food chain by using cereal boxes either as a mulch or a composting material.
There is a very full article about the issue by the UK National Health Service here
"
1071,"The leaves on my pumpkin plants have what looks like a white mold growing on them.
What is this? 
If it is harmful, how do I treat it?


This is almost certainly Powdery Mildew (see photo), a fungal disease that prefers high  humidity and occurs most often during a spell of cool days and humid nights. A severe attack will destroy plants' leaves and reduce their yield. You can control it chemically with a copper or sulfur-based fungicide, or organically, using the following recipe, which I haven't tried myself but I gather is very effective. It is based on research done by Cornell University:
1 tablespoon each of baking soda (sodium bicarbonate) and either a light horticultural oil or regular vegetable oil, to 1 gallon of water. Shake well before and during application.  
Powdery Mildew on Pumpkin Leaves
"
